id,seq,rank,nametest,namecat,namecat2,tag1,tag2,tag3
31,3,0,20c,数论,位置原理,周期,理解题意,
30,2,0,20c,计数问题,枚举法,方程,,
29,1,0,20c,计算问题,繁分数的计算,,,
28,14,5,20b,数阵图与数字谜,汉字短语,最值问题,,
27,13,4,20b,几何问题,五大模型,蝴蝶模型,比例模型,
26,12,4,20b,计数问题,枚举法,体育比赛,乒乓球,
25,11,4,20b,行程问题,环形跑道,多次追追及,理解题意,
24,10,3,20b,几何问题,立体图形的表面积和体积,挖,长方体,
23,9,4,20b,数论问题,完全平方数,数的整除,,
22,8,5,20b,计数问题,排列组合,方程,枚举法,分类讨论
21,7,4,20b,几何问题,五大模型,等积变形,比例模型,方程
20,6,3,20b,数论,位置原理,排列组合,方程,
19,5,4,20b,计数问题,排列组合,连线,,
18,4,3,20b,数论问题,余数问题,约数倍数,左右对称,上下对称
17,3,2,20b,行程问题,钟面行程,时针与分针角度,,
16,2,2,20b,应用题,分数百分数应用题,,,
15,1,1,20b,计算问题,数学计算公式,分数,提取公因数,
14,14,4,20a,奥数杂题,数阵图与数字谜,汉字短语,最值问题,
13,13,3,20a,几何问题,平面图形面积,风筝模型,鸟头模型,比例模型
12,12,3,20a,数论问题,余数问题,周期,列表,总周期
11,11,3,20a,几何问题,五大模型,一半模型,等积变形,辅助线-平行线
10,10,3,20a,应用题,经济利润问题,最值问题,,
9,9,3,20a,数论问题,约数倍数,方程,公倍数,
8,8,3,20a,计数问题,枚举法,体育比赛,乒乓球,
7,7,4,20a,计数问题,容斥原理,排列组合,最值问题,学科竞赛
6,6,2,20a,几何问题,立体图形的表面积和体积,挖,长方体,
5,5,3,20a,数论问题,位值原理,排列组合,方程,
4,4,4,20a,行程问题,钟面行程,相遇,左右对称,上下对称
3,3,2,20a,应用题,工程问题,工作效率,,
2,2,2,20a,几何问题,巧求周长,六边形,十二边形,图形组合
1,1,2,20a,计算问题,数学计算公式,分数,分配率,结合律
